date	referrer	tiles
2017-07-17	Other Wikimedia projects	47107
2017-07-17	Wikidata Query Service	20557
2017-07-18	Pokemon Go fansite	21901845
2017-07-18	Other	7141862
2017-07-18	Wikipedia	1894554
2017-07-18	Wikimedia Labs	1348280
2017-07-18	Wikivoyage	269171
2017-07-18	Other Wikimedia projects	45679
2017-07-18	Wikidata Query Service	37795
2017-07-19	Pokemon Go fansite	31930839
2017-07-19	Other	9082625
2017-07-19	Wikipedia	1821399
2017-07-19	Wikimedia Labs	1264240
2017-07-19	Wikivoyage	251579
2017-07-19	Other Wikimedia projects	60152
2017-07-19	Wikidata Query Service	26491
2017-07-20	Pokemon Go fansite	29562674
2017-07-20	Other	21038779
2017-07-20	Wikipedia	1816008
2017-07-20	Wikimedia Labs	1229957
2017-07-20	Wikivoyage	264162
2017-07-20	Other Wikimedia projects	55419
2017-07-20	Wikidata Query Service	18425
2017-07-21	Pokemon Go fansite	26480783
2017-07-21	Other	10119443
2017-07-21	Wikipedia	1683938
2017-07-21	Wikimedia Labs	1204834
2017-07-21	Wikivoyage	234971
2017-07-21	Other Wikimedia projects	55084
2017-07-21	Wikidata Query Service	7599
2017-07-22	Pokemon Go fansite	40870598
2017-07-22	Other	14958347
2017-07-22	Wikipedia	1280474
2017-07-22	Wikimedia Labs	985904
2017-07-22	Wikivoyage	223962
2017-07-22	Other Wikimedia projects	39399
2017-07-22	Wikidata Query Service	4277
2017-07-23	Pokemon Go fansite	97695109
2017-07-23	Other	16019956
2017-07-23	Wikipedia	1533128
2017-07-23	Wikimedia Labs	1079401
2017-07-23	Wikivoyage	259888
2017-07-23	Other Wikimedia projects	89120
2017-07-23	Wikidata Query Service	6615
2017-07-24	Pokemon Go fansite	82449145
2017-07-24	Other	17067669
2017-07-24	Wikipedia	1944754
2017-07-24	Wikimedia Labs	1320106
2017-07-24	Wikivoyage	326718
2017-07-24	Other Wikimedia projects	73177
2017-07-24	Wikidata Query Service	21597
2017-07-25	Pokemon Go fansite	65934661
2017-07-25	Other	7370101
2017-07-25	Wikipedia	1824572
2017-07-25	Wikimedia Labs	1325719
2017-07-25	Wikivoyage	307570
2017-07-25	Other Wikimedia projects	69068
2017-07-25	Wikidata Query Service	25052
2017-07-26	Pokemon Go fansite	64347692
2017-07-26	Other	9714022
2017-07-26	Wikipedia	1747367
2017-07-26	Wikimedia Labs	1278788
2017-07-26	Wikivoyage	308107
2017-07-26	Other Wikimedia projects	64257
2017-07-26	Wikidata Query Service	19269
2017-07-27	Pokemon Go fansite	68872735
2017-07-27	Other	9931984
2017-07-27	Wikipedia	1760484
2017-07-27	Wikimedia Labs	1194295
2017-07-27	Wikivoyage	261661
2017-07-27	Other Wikimedia projects	46304
2017-07-27	Wikidata Query Service	14102
2017-07-28	Pokemon Go fansite	62580916
2017-07-28	Other	9992715
2017-07-28	Wikipedia	1686850
2017-07-28	Wikimedia Labs	1172016
2017-07-28	Wikivoyage	256863
2017-07-28	Other Wikimedia projects	40141
2017-07-28	Wikidata Query Service	14875
2017-07-29	Pokemon Go fansite	68016376
2017-07-29	Other	5575321
2017-07-29	Wikipedia	1371421
2017-07-29	Wikimedia Labs	1013477
2017-07-29	Wikivoyage	222352
2017-07-29	Other Wikimedia projects	36559
2017-07-29	Wikidata Query Service	15062
2017-07-30	Pokemon Go fansite	73966565
2017-07-30	Other	11312289
2017-07-30	Wikipedia	1463232
2017-07-30	Wikimedia Labs	1141126
2017-07-30	Wikivoyage	250761
2017-07-30	Other Wikimedia projects	47840
2017-07-30	Wikidata Query Service	14846
2017-07-31	Pokemon Go fansite	65351053
2017-07-31	Other	7464882
2017-07-31	Wikipedia	1878458
2017-07-31	Wikimedia Labs	1322467
2017-07-31	Wikivoyage	271949
2017-07-31	Other Wikimedia projects	41136
2017-07-31	Wikidata Query Service	12337
