date	referrer	pageviews	proportion
2016-07-04	Referred by something other than search engine	209632	0.829
2016-07-04	Referred by a search engine	147507	0.583
2016-07-04	Referred internally (itself or a sister wiki)	666856	2.636
2016-07-04	Direct (not referred by anything)	24276943	95.953
2016-07-05	Referred by something other than search engine	211303	0.794
2016-07-05	Referred by a search engine	176773	0.665
2016-07-05	Referred internally (itself or a sister wiki)	708113	2.662
2016-07-05	Direct (not referred by anything)	25503470	95.879
2016-07-06	Referred by something other than search engine	209509	0.777
2016-07-06	Referred by a search engine	189152	0.701
2016-07-06	Referred internally (itself or a sister wiki)	698032	2.589
2016-07-06	Direct (not referred by anything)	25869848	95.933
2016-07-07	Referred by something other than search engine	213804	0.788
2016-07-07	Referred by a search engine	182669	0.674
2016-07-07	Referred internally (itself or a sister wiki)	716376	2.642
2016-07-07	Direct (not referred by anything)	26003266	95.896
2016-07-08	Referred by something other than search engine	204383	0.763
2016-07-08	Referred by a search engine	176070	0.658
2016-07-08	Referred internally (itself or a sister wiki)	662945	2.476
2016-07-08	Direct (not referred by anything)	25735209	96.104
2016-07-09	Referred by something other than search engine	180793	0.719
2016-07-09	Referred by a search engine	148025	0.589
2016-07-09	Referred internally (itself or a sister wiki)	614470	2.443
2016-07-09	Direct (not referred by anything)	24208350	96.25
2016-07-10	Referred by something other than search engine	178525	0.701
2016-07-10	Referred by a search engine	149552	0.587
2016-07-10	Referred internally (itself or a sister wiki)	665070	2.612
2016-07-10	Direct (not referred by anything)	24468662	96.099
2016-07-11	Referred by something other than search engine	218302	0.811
2016-07-11	Referred by a search engine	165273	0.614
2016-07-11	Referred internally (itself or a sister wiki)	749182	2.784
2016-07-11	Direct (not referred by anything)	25781708	95.791
2016-07-12	Referred by something other than search engine	210704	0.733
2016-07-12	Referred by a search engine	186726	0.65
2016-07-12	Referred internally (itself or a sister wiki)	742651	2.585
2016-07-12	Direct (not referred by anything)	27586842	96.031
2016-07-13	Referred by something other than search engine	208941	0.741
2016-07-13	Referred by a search engine	199356	0.707
2016-07-13	Referred internally (itself or a sister wiki)	722383	2.563
2016-07-13	Direct (not referred by anything)	27049423	95.988
2016-07-14	Referred by something other than search engine	200112	0.709
2016-07-14	Referred by a search engine	176786	0.627
2016-07-14	Referred internally (itself or a sister wiki)	723860	2.566
2016-07-14	Direct (not referred by anything)	27108801	96.098
2016-07-15	Referred by something other than search engine	318670	1.129
2016-07-15	Referred by a search engine	153114	0.543
2016-07-15	Referred internally (itself or a sister wiki)	688906	2.441
2016-07-15	Direct (not referred by anything)	27060253	95.887
2016-07-16	Referred by something other than search engine	227176	0.856
2016-07-16	Referred by a search engine	125235	0.472
